"geoid","msa","name","pop","pop_child","pop_inst","house","house_fam","house_fam_child","house_child","house_senior","house_size","house_fam_size","units","units_occ","units_vac","units_vac_rent","units_sale","units_sold","units_vac_vacation","units_vac_other","units_occ_own","units_occ_own_pop","units_occ_own_size","units_occ_rent","units_occ_rent_pop","units_occ_rent_size"
"310M100US21640",21640,"Eufaula, AL-GA  Micro Area",29970,7679,3193,10873,7410,2885,3524,3325,2.46,3.01,13876,10873,3003,349,204,93,1480,857,7382,17952,2.43,3491,8825,2.53
"310M100US21660",21660,"Eugene-Springfield, OR  Metro Area",351715,81930,1613,145966,86938,34504,38368,37966,2.35,2.87,156112,145966,10146,3064,1761,328,2663,2127,87228,211200,2.42,58738,131985,2.25
"310M100US21700",21700,"Eureka-Arcata-Fortuna, CA  Micro Area",134623,30879,914,56031,31079,13096,14873,13139,2.31,2.91,61559,56031,5528,936,467,139,2247,1615,30820,73505,2.38,25211,56104,2.23
"310M100US21740",21740,"Evanston, WY  Micro Area",21118,6921,130,7668,5577,2788,3050,1355,2.72,3.19,8713,7668,1045,304,138,19,230,341,5759,16063,2.79,1909,4785,2.51
"310M100US21780",21780,"Evansville, IN-KY  Metro Area",358676,98219,4953,144362,94990,40157,45033,36278,2.41,2.95,159314,144362,14952,5339,2343,731,998,5313,101039,253359,2.51,43323,94522,2.18
"310M100US21820",21820,"Fairbanks, AK  Metro Area",97581,28237,575,36441,23726,12089,12995,4882,2.56,3.13,41783,36441,5342,1502,509,92,1676,1484,21410,57099,2.67,15031,36169,2.41
"310M100US21860",21860,"Fairmont, MN  Micro Area",20840,5353,231,9035,5772,2230,2368,2923,2.27,2.81,10009,9035,974,274,135,35,170,348,6802,15988,2.35,2233,4504,2.02
"310M100US21900",21900,"Fairmont, WV  Micro Area",56418,14064,348,23786,15271,5707,6455,6994,2.32,2.85,26463,23786,2677,521,259,216,327,1320,17470,41779,2.39,6316,13299,2.11
"310M100US21940",21940,"Fajardo, PR  Metro Area",70692,23244,161,26437,19117,8160,9853,8618,2.66,3.17,38114,26437,11677,843,875,295,5303,4257,19827,52389,2.64,6610,17993,2.72
"310M100US21980",21980,"Fallon, NV  Micro Area",24877,6968,114,9671,6631,2849,3215,2739,2.53,3.01,10826,9671,1155,432,198,34,90,392,6216,15387,2.48,3455,9124,2.64
"310M100US22020",22020,"Fargo, ND-MN  Metro Area",208777,53001,1459,86178,49401,23638,24905,15323,2.32,2.96,91897,86178,5719,2793,950,188,591,1042,49799,130296,2.62,36379,69728,1.92
"310M100US22060",22060,"Faribault-Northfield, MN  Micro Area",64142,17253,2477,22315,15191,7104,7801,5387,2.55,3.06,24453,22315,2138,581,433,88,652,358,16897,44858,2.65,5418,12006,2.22
